LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,length_m_s,road_densi,point_coun,node_densi
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,"1407","1407","0",76.5000,"504",2.8000,9382.000000,"51578",148.000000000000000,"814"
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,"1834","1773","61",98.0000,"650",2.7000,9141.000000,"48494",109.000000000000000,"578"
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,"1579","1579","0",93.3000,"593",2.7000,8390.000000,"48942",114.000000000000000,"665"
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,"1314","1314","0",102.4000,"474",2.8000,5024.000000,"39124",87.000000000000000,"678"
E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,"1112","1112","0",53.7000,"500",2.2000,11526.000000,"53989",291.000000000000000,"1363"
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,"1336","1325","11",103.9000,"456",2.9000,7215.000000,"56372",58.000000000000000,"453"
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,"1609","1609","0",104.9000,"629",2.6000,4255.000000,"28245",63.000000000000000,"418"
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,"1709","1688","21",11.6000,"641",2.6000,20948.000000,"14129",819.000000000000000,"552"
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,"1549","1519","30",107.7000,"612",2.5000,9467.000000,"64319",104.000000000000000,"707"
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,"1602","1602","0",62.4000,"690",2.3000,14124.000000,"55798",218.000000000000000,"861"
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,"1915","1915","0",66.9000,"770",2.5000,19176.000000,"67596",450.000000000000000,"1586"
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,"1617","1617","0",19.2000,"598",2.7000,13072.000000,"15490",248.000000000000000,"294"
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,"1629","1629","0",43.4000,"631",2.6000,11075.000000,"29188",230.000000000000000,"606"
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,"1361","1361","0",93.7000,"533",2.6000,5982.000000,"41882",86.000000000000000,"602"
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,"1444","1348","96",28.1000,"517",2.6000,14937.000000,"28995",392.000000000000000,"761"
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,"1610","1543","67",40.5000,"567",2.7000,10405.000000,"26372",225.000000000000000,"570"
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,"1353","1353","0",32.3000,"469",2.9000,11518.000000,"26786",229.000000000000000,"533"
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,"1688","1547","141",72.3000,"579",2.7000,9519.000000,"40061",178.000000000000000,"749"
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,"1447","1447","0",67.6000,"563",2.6000,6561.000000,"30890",69.000000000000000,"325"
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,"1603","1595","8",10.5000,"659",2.4000,35571.000000,"23309",1191.000000000000000,"780"
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,"1569","1569","0",91.9000,"640",2.5000,8116.000000,"47918",280.000000000000000,"1653"
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,"1682","1682","0",110.2000,"607",2.8000,5512.000000,"36328",74.000000000000000,"488"
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,"1788","1786","2",77.3000,"679",2.6000,12255.000000,"52799",318.000000000000000,"1370"
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,"1358","1356","2",51.0000,"461",2.9000,9087.000000,"34234",224.000000000000000,"844"
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,"1798","1793","5",105.4000,"629",2.9000,6526.000000,"37384",181.000000000000000,"1037"
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,"1650","1646","4",55.3000,"602",2.7000,18680.000000,"62324",664.000000000000000,"2215"
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,"1779","1779","0",114.4000,"654",2.7000,5774.000000,"36744",127.000000000000000,"808"
E01000048,Barking and Dagenham 021B,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,"1783","1783","0",275.6000,"644",2.8000,3052.000000,"47636",113.000000000000000,"1764"
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,"1820","1820","0",85.8000,"643",2.8000,13343.000000,"62444",407.000000000000000,"1905"
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,"1661","1661","0",120.6000,"615",2.7000,6574.000000,"47559",230.000000000000000,"1664"
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,"1927","1927","0",288.9000,"725",2.7000,3201.000000,"48627",75.000000000000000,"1139"
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,"2014","2014","0",100.9000,"769",2.6000,11065.000000,"55143",449.000000000000000,"2238"
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,"1485","1484","1",82.1000,"645",2.3000,13314.000000,"74729",457.000000000000000,"2565"
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,"1718","1718","0",100.4000,"638",2.7000,7073.000000,"41336",110.000000000000000,"643"
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,"1553","1553","0",106.4000,"560",2.8000,8580.000000,"58248",164.000000000000000,"1113"
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,"1584","1542","42",65.0000,"573",2.7000,16813.000000,"67505",403.000000000000000,"1618"
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,"1496","1496","0",101.3000,"537",2.8000,7552.000000,"51542",133.000000000000000,"908"
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,"1849","1849","0",101.5000,"690",2.7000,4807.000000,"26376",86.000000000000000,"472"
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,"1582","1540","42",75.9000,"578",2.7000,7827.000000,"37372",163.000000000000000,"778"
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,"1809","1809","0",32.9000,"770",2.3000,18632.000000,"33837",648.000000000000000,"1177"
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,"1776","1719","57",29.1000,"668",2.6000,16143.000000,"26648",709.000000000000000,"1170"
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,"1952","1952","0",88.2000,"761",2.6000,10310.000000,"45617",225.000000000000000,"996"
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,"1620","1620","0",89.4000,"635",2.6000,9141.000000,"50060",266.000000000000000,"1457"
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,"1893","1831","62",90.7000,"709",2.6000,9410.000000,"44939",222.000000000000000,"1060"
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"1736","1736","0",74.3000,"774",2.2000,10030.000000,"43357",181.000000000000000,"782"
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,"1928","1928","0",78.7000,"683",2.8000,7319.000000,"29758",162.000000000000000,"659"
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,"1969","1969","0",102.3000,"679",2.9000,8707.000000,"45293",146.000000000000000,"759"
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,"1590","1575","15",46.8000,"462",3.4000,13052.000000,"38180",340.000000000000000,"995"
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,"1763","1756","7",87.9000,"513",3.4000,6794.000000,"34761",102.000000000000000,"522"
E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,"1975","1975","0",50.4000,"598",3.3000,15170.000000,"38308",341.000000000000000,"861"
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,"2253","2251","2",83.3000,"785",2.9000,9954.000000,"36765",331.000000000000000,"1223"
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,"1991","1991","0",38.3000,"784",2.5000,13287.000000,"25415",324.000000000000000,"620"
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,"1619","1619","0",56.9000,"627",2.6000,8957.000000,"31644",179.000000000000000,"632"
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,"1567","1567","0",95.4000,"629",2.5000,7119.000000,"43238",127.000000000000000,"771"
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,"1732","1732","0",33.5000,"622",2.8000,16222.000000,"31414",360.000000000000000,"697"
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,"1988","1982","6",104.2000,"710",2.8000,7562.000000,"39786",95.000000000000000,"500"
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,"1445","1437","8",83.1000,"560",2.6000,8423.000000,"48381",205.000000000000000,"1178"
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"1666","1666","0",94.8000,"649",2.6000,7192.000000,"41854",229.000000000000000,"1333"
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,"1546","1546","0",49.9000,"609",2.5000,10085.000000,"32527",273.000000000000000,"881"
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"1556","1556","0",67.3000,"594",2.6000,7764.000000,"33312",104.000000000000000,"446"
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"1688","1688","0",90.9000,"648",2.6000,6258.000000,"33569",101.000000000000000,"542"
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"1683","1678","5",104.7000,"672",2.5000,5432.000000,"33239",137.000000000000000,"838"
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"1700","1700","0",94.5000,"629",2.7000,8769.000000,"48894",165.000000000000000,"920"
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,"1355","1355","0",90.3000,"517",2.6000,7322.000000,"47998",129.000000000000000,"846"
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,"1718","1711","7",118.2000,"640",2.7000,5485.000000,"37924",110.000000000000000,"761"
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,"1431","1431","0",102.1000,"508",2.8000,6883.000000,"49463",59.000000000000000,"424"
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,"1341","1341","0",36.0000,"503",2.7000,11959.000000,"31863",318.000000000000000,"847"
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,"1828","1723","105",80.7000,"640",2.7000,9304.000000,"41453",210.000000000000000,"936"
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,"1666","1666","0",114.5000,"612",2.7000,5417.000000,"35873",92.000000000000000,"609"
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,"1584","1584","0",8.1000,"549",2.9000,48742.000000,"25069",1874.000000000000000,"964"
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,"1714","1714","0",69.6000,"633",2.7000,11726.000000,"47306",411.000000000000000,"1658"
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,"2674","2674","0",10.1000,"975",2.7000,68203.000000,"25789",3038.000000000000000,"1149"
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,"1547","1547","0",52.7000,"642",2.4000,11174.000000,"38220",327.000000000000000,"1118"
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,"1326","1326","0",22.0000,"517",2.6000,22169.000000,"36917",894.000000000000000,"1489"
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,"1572","1572","0",6.9000,"549",2.9000,61828.000000,"26901",2369.000000000000000,"1031"
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,"1895","1895","0",31.5000,"639",3.0000,20987.000000,"35041",567.000000000000000,"947"
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,"1683","1683","0",93.9000,"708",2.4000,9146.000000,"50390",153.000000000000000,"843"
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,"1746","1746","0",99.5000,"625",2.8000,9243.000000,"53204",121.000000000000000,"696"
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,"1732","1732","0",55.9000,"666",2.6000,11006.000000,"35452",226.000000000000000,"728"
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,"1653","1653","0",78.2000,"615",2.7000,6322.000000,"30005",88.000000000000000,"418"
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,"1513","1513","0",92.3000,"567",2.7000,6836.000000,"42441",111.000000000000000,"689"
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"1540","1540","0",60.9000,"625",2.5000,10063.000000,"39540",134.000000000000000,"527"
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,"1685","1685","0",24.0000,"600",2.8000,15925.000000,"22798",439.000000000000000,"628"
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,"1781","1781","0",80.9000,"739",2.4000,10851.000000,"50175",272.000000000000000,"1258"
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,"2129","2115","14",96.4000,"915",2.3000,9416.000000,"42091",210.000000000000000,"939"
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,"1968","1968","0",89.7000,"916",2.1000,9486.000000,"42933",291.000000000000000,"1317"
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,"1666","1632","34",31.1000,"601",2.7000,12445.000000,"23061",266.000000000000000,"493"
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,"1558","1558","0",64.4000,"652",2.4000,6762.000000,"28337",133.000000000000000,"557"
E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,"1686","1686","0",44.9000,"608",2.8000,10219.000000,"27178",219.000000000000000,"582"
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,"1416","1404","12",72.8000,"501",2.8000,3604.000000,"19123",43.000000000000000,"228"
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,"1833","1833","0",61.8000,"732",2.5000,11687.000000,"38757",262.000000000000000,"869"
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,"1871","1871","0",67.4000,"739",2.5000,10739.000000,"38853",269.000000000000000,"973"
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,"1679","1679","0",109.1000,"633",2.7000,4112.000000,"26573",91.000000000000000,"588"
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,"2090","2090","0",81.6000,"758",2.8000,11552.000000,"45068",382.000000000000000,"1490"
E01000115,Barnet 009A,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,"1484","1460","24",54.2000,"485",3.0000,11411.000000,"40756",297.000000000000000,"1061"
E01000116,Barnet 009B,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,"1718","1718","0",70.1000,"623",2.8000,14816.000000,"60358",323.000000000000000,"1316"
E01000117,Barnet 010A,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,"1819","1819","0",54.9000,"762",2.4000,12641.000000,"38355",336.000000000000000,"1019"
E01000118,Barnet 010B,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,"1936","1936","0",67.8000,"709",2.7000,13677.000000,"47947",263.000000000000000,"922"
E01000119,Barnet 009C,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,"1680","1680","0",42.3000,"607",2.8000,17247.000000,"43037",428.000000000000000,"1068"
E01000120,Barnet 009D,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,"1504","1504","0",61.4000,"505",3.0000,11037.000000,"45399",76.000000000000000,"313"
E01000121,Barnet 010C,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,"1497","1398","99",39.8000,"501",2.8000,16519.000000,"43833",372.000000000000000,"987"
E01000122,Barnet 009E,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,"1471","1463","8",62.3000,"522",2.8000,12375.000000,"52513",196.000000000000000,"832"
E01000123,Barnet 010D,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,"1664","1664","0",31.6000,"685",2.4000,21920.000000,"41764",581.000000000000000,"1107"
E01000124,Barnet 010E,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,"1621","1621","0",63.4000,"660",2.5000,13346.000000,"51296",456.000000000000000,"1753"
E01000125,Barnet 024A,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,"2779","2690","89",90.3000,"1015",2.7000,13160.000000,"43383",316.000000000000000,"1042"
E01000126,Barnet 026A,E02000049,Barnet 026,E09000003,Barnet,E12000007,London,"2162","2162","0",134.0000,"726",3.0000,8536.000000,"54045",262.000000000000000,"1659"
E01000127,Barnet 024B,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,"1505","1505","0",75.0000,"514",2.9000,7282.000000,"37074",121.000000000000000,"616"
E01000128,Barnet 024C,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,"1869","1869","0",75.7000,"624",3.0000,8239.000000,"33910",176.000000000000000,"724"
E01000129,Barnet 024D,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,"1782","1715","67",103.7000,"624",2.7000,9053.000000,"52213",160.000000000000000,"923"
E01000130,Barnet 021A,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,"1603","1603","0",93.6000,"570",2.8000,7008.000000,"39709",181.000000000000000,"1026"
E01000131,Barnet 024E,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,"1806","1796","10",53.7000,"634",2.8000,9682.000000,"28954",369.000000000000000,"1103"
E01000132,Barnet 021B,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,"1478","1478","0",96.3000,"495",3.0000,6027.000000,"39367",61.000000000000000,"398"
E01000133,Barnet 021C,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,"1601","1601","0",102.9000,"565",2.8000,7576.000000,"47508",151.000000000000000,"947"
E01000134,Barnet 024F,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,"1632","1632","0",102.4000,"625",2.6000,7542.000000,"47020",94.000000000000000,"586"
E01000135,Barnet 038A,E02000061,Barnet 038,E09000003,Barnet,E12000007,London,"1564","1493","71",47.3000,"541",2.8000,9652.000000,"28906",207.000000000000000,"620"
E01000136,Barnet 038B,E02000061,Barnet 038,E09000003,Barnet,E12000007,London,"1532","1466","66",29.4000,"563",2.6000,17161.000000,"32971",682.000000000000000,"1310"
E01000137,Barnet 041A,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,"1729","1644","85",140.8000,"669",2.5000,6851.000000,"55408",132.000000000000000,"1068"
E01000138,Barnet 040A,E02000063,Barnet 040,E09000003,Barnet,E12000007,London,"1449","1449","0",55.4000,"523",2.8000,11905.000000,"45948",310.000000000000000,"1196"
E01000139,Barnet 041B,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,"1429","1427","2",40.7000,"560",2.5000,12495.000000,"35357",368.000000000000000,"1041"
E01000140,Barnet 041C,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,"1631","1606","25",111.6000,"683",2.4000,8191.000000,"56741",194.000000000000000,"1344"
E01000141,Barnet 039A,E02000062,Barnet 039,E09000003,Barnet,E12000007,London,"2104","2081","23",56.8000,"864",2.4000,13486.000000,"36472",395.000000000000000,"1068"
E01000142,Barnet 040B,E02000063,Barnet 040,E09000003,Barnet,E12000007,London,"2381","2296","85",119.4000,"950",2.4000,6634.000000,"33191",260.000000000000000,"1301"
E01000143,Barnet 041D,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,"1459","1339","120",83.6000,"538",2.5000,3864.000000,"22532",92.000000000000000,"536"
